platform,title,url,author,description,published_at,likes,comments,collects,shares
douyin,从夯到拉锐评 “vibe coding产品创意” 啊！ #排名 #从夯到拉 #ai #vibecoding #程序员,https://www.douyin.com/video/7645917007707180340,吴所知,合集 02:01 556 从夯到拉锐评 “vibe coding产品创意” 啊！ #排名 #从夯到拉 #ai #vibecoding #程序员 @吴所知 1周前,2026-06-08,556,,,
douyin,VibeCoding大赏 | 小白写代码前必做的三件事！ 我作为新手小白vibe coding遇到了太多坑！ 💡这期先不急着写代码，而是跟着丁老师把开发前的 3 件事补上： ✅整理项目文件夹 ✅确定 MVP 和里程碑 ✅建 项目的Git 仓库 如果你也想用 AI 做一个自己的产品，这条可以当作跟练第一集。 #vibecoding大赏 #ai新星计划 #AI #vibecoding #codex,https://www.douyin.com/video/7645246579288460584,珍妮丁丁说AI,08:32 8166 VibeCoding大赏 | 小白写代码前必做的三件事！ 我作为新手小白vibe coding遇到了太多坑！ 💡这期先不急着写代码，而是跟着丁老师把开发前的 3 件事补上： ✅整理项目文件夹 ✅确定 MVP 和里程碑 ✅建 项目的Git 仓库 如果你也想用 AI 做一个自己的产品，这条可以当作跟练第一集。 #vibecoding大赏 #ai新星计划 #AI #vibecoding #codex @珍妮丁丁说AI 2周前,2026-06-01,8166,,,
douyin,Vibe Coding实战篇总结：立项 务必和你的AI讨论清楚你的需求。#ai新星 #vibecoding大赏 #ai敲代码 @抖音科技,https://www.douyin.com/video/7651419248434187570,敲代码的小虾米,合集 09:47 126 Vibe Coding实战篇总结：立项 务必和你的AI讨论清楚你的需求。#ai新星 #vibecoding大赏 #ai敲代码 @抖音科技 @敲代码的小虾米 6小时前,2026-06-15,126,,,
douyin,Vibe Coding最大的误会是Coding#codex #agent #ai智能体 #vibecoding #脑科学,https://www.douyin.com/video/7648126687263132934,奶牛Denny的播客,01:33 1.8万 Vibe Coding最大的误会是Coding#codex #agent #ai智能体 #vibecoding #脑科学 @奶牛Denny的播客 1周前,2026-06-08,1.8万,,,
douyin,vibecoding最佳实践，大佬都在用的极简工作流 #ai #vibecoding #ai教学 #工作流 #vibecoding大赏,https://www.douyin.com/video/7647175251755984997,Edward_ai,01:43 3032 vibecoding最佳实践，大佬都在用的极简工作流 #ai #vibecoding #ai教学 #工作流 #vibecoding大赏 @Edward_ai 1周前,2026-06-08,3032,,,
douyin,为什么你的 Vibe Coding 做不出高级感？ 为什么同样是AI 开发，别人做的页面看起来就很高级，而你的总是差一点感觉？ 其实不是你代码不行，而是你少做了一件事：设计系统搭建。 #Vibecoding #Vibecoding大赏 #真实生活分享计划 #AI新星计划 #AI新手村 @抖音科技,https://www.douyin.com/video/7649339285061606378,派大鑫,03:16 1.5万 为什么你的 Vibe Coding 做不出高级感？ 为什么同样是AI 开发，别人做的页面看起来就很高级，而你的总是差一点感觉？ 其实不是你代码不行，而是你少做了一件事：设计系统搭建。 #Vibecoding #Vibecoding大赏 #真实生活分享计划 #AI新星计划 #AI新手村 @抖音科技 @派大鑫 5天前,2026-06-10,1.5万,,,
douyin,Vibecoding变现：从想法到产品的必经之路 做Vibecoding想变现？手搓的工具不管是对外用还是展示，都得部署上线才行，来看看一个idea是怎么变成产品的～ #大模型 #ai新星计划 #vibecoding大赏 #AIagent #大模型实战,https://www.douyin.com/video/7649425941694261312,可燃AI,01:23 74 Vibecoding变现：从想法到产品的必经之路 做Vibecoding想变现？手搓的工具不管是对外用还是展示，都得部署上线才行，来看看一个idea是怎么变成产品的～ #大模型 #ai新星计划 #vibecoding大赏 #AIagent #大模型实战 @可燃AI 5天前,2026-06-10,74,,,
douyin,Vibecoding变高级的2个技巧+3个审美灵感库 0基础建站，聪明的学会借力提升vibecoding的前端审美～ 主打一个无AI味儿、丑拒！！！ 学会这套方法论，咱就不用从0到1自己哭哈哈的设计啦！#vibecoding #ai工具 #ui设计 #ai #网站设计,https://www.douyin.com/video/7642348668217068841,HiHi小壮,02:11 954 Vibecoding变高级的2个技巧+3个审美灵感库 0基础建站，聪明的学会借力提升vibecoding的前端审美～ 主打一个无AI味儿、丑拒！！！ 学会这套方法论，咱就不用从0到1自己哭哈哈的设计啦！#vibecoding #ai工具 #ui设计 #ai #网站设计 @HiHi小壮 3周前,2026-05-25,954,,,
douyin,Vibe Coding立项：前端骨架 在开始让AI写前端之前，记得先做这些哦。#vibecoing #前端开发 #cursor #codex,https://www.douyin.com/video/7647330309549100340,敲代码的小虾米,合集 09:40 5289 Vibe Coding立项：前端骨架 在开始让AI写前端之前，记得先做这些哦。#vibecoing #前端开发 #cursor #codex @敲代码的小虾米 1周前,2026-06-08,5289,,,
douyin,Vibe coding饶过谁？美女怎么了？一样中招！ #vibecoding #数字人 #ai编程 @洋芋酱AIgen 真人真事，绝对雷同,https://www.douyin.com/video/7649346843272416552,Aiwood爱屋研究室,合集 01:58 3143 Vibe coding饶过谁？美女怎么了？一样中招！ #vibecoding #数字人 #ai编程 @洋芋酱AIgen 真人真事，绝对雷同 @Aiwood爱屋研究室 5天前,2026-06-10,3143,,,
