platform,title,url,author,description,published_at,likes,comments,shares
douyin,VibeCoding变现指南：从开发，获客到交付全链路讲解 #青年创作者成长计划 #vibecoding大赏 #Ai新星计划,https://www.douyin.com/video/7646665973897973043,柱子哥TzFilm,合集 08:11 4.0万 VibeCoding变现指南：从开发，获客到交付全链路讲解 #青年创作者成长计划 #vibecoding大赏 #Ai新星计划 @柱子哥TzFilm 1周前,2026-06-08,4.0万,,
douyin,6月15日 (1) #vibecoding大赏,https://www.douyin.com/video/7651459970168327467,唐宋無名氏,03:04 1 6月15日 (1) #vibecoding大赏 @唐宋無名氏 2小时前,2026-06-15,1,,
douyin,VibeCoding大赏|用codex五分钟制作手势交互！ #vibecoding大赏 #ai新星计划 @抖音科技 #vibecoding@希彼赫,https://www.douyin.com/video/7648964256485952795,千雪AI,合集 02:41 740 VibeCoding大赏|用codex五分钟制作手势交互！ #vibecoding大赏 #ai新星计划 @抖音科技 #vibecoding@希彼赫 @千雪AI 6天前,2026-06-09,740,,
douyin,网站部署上线来喽 「VibeCoding大赏」制作个人网站如何部署上线分享给你的好朋们，今天分享3个方法，精心整理，大家耐心看完哦~@抖音科技 #vibecoding #ai新星计划 #网站上线 #ai #github,https://www.douyin.com/video/7651155931337608475,小羊同学,04:06 322 网站部署上线来喽 「VibeCoding大赏」制作个人网站如何部署上线分享给你的好朋们，今天分享3个方法，精心整理，大家耐心看完哦~@抖音科技 #vibecoding #ai新星计划 #网站上线 #ai #github @小羊同学 19小时前,2026-06-15,322,,
douyin,「VibeCoding大赏」音乐不只是声音 #vibecoding #ai新星计划 #AI #vibecoding大赏 #设计,https://www.douyin.com/video/7651314835816221987,know634,09:54 3 「VibeCoding大赏」音乐不只是声音 #vibecoding #ai新星计划 #AI #vibecoding大赏 #设计 @know634 11小时前,2026-06-15,3,,
douyin,vibecoding大赏 | 聊聊Loop Engine与我 vibecoding大赏 | 最近好多人在聊Loop Engine：让模型持续执行「规划、行动、验证、反思」的闭环。 说起来还挺巧的，在这个概念火起来之前，我也做过类似方向的尝试——kodawari engine。它不是让AI无限往前跑，而是把需求文档拆成架构方案、任务图和任务卡，再由Planner、Reviewer、Executor协作完成开发。 而且每一轮都得留下证据：真实测试、规则门禁、评审结果，绝对不能假跑。其实我更关心的不是“AI能不能跑起来”，而是：AI能不能在边界、证据和责任链里，交付你真正想要的结果。 #vibecoding大赏 #ai #claude #gpt,https://www.douyin.com/video/7651178258108889573,啊肥肥肥,01:22 80 vibecoding大赏 | 聊聊Loop Engine与我 vibecoding大赏 | 最近好多人在聊Loop Engine：让模型持续执行「规划、行动、验证、反思」的闭环。 说起来还挺巧的，在这个概念火起来之前，我也做过类似方向的尝试——kodawari engine。它不是让AI无限往前跑，而是把需求文档拆成架构方案、任务图和任务卡，再由Planner、Reviewer、Executor协作完成开发。 而且每一轮都得留下证据：真实测试、规则门禁、评审结果，绝对不能假跑。其实我更关心的不是“AI能不能跑起来”，而是：AI能不能在边界、证据和责任链里，交付你真正想要的结果。 #vibecoding大赏 #ai #claude #gpt @啊肥肥肥 20小时前,2026-06-15,80,,
douyin,VibeCoding大赏 | 我做了个会自己进球的赛博足球！ 这不是世界杯来了，俺也想凑凑热闹！ 前段时间看到博主Max Imagination的创意esproll，我发现这不就是个足球嘛！假如我能让足球为我而动，那岂不是哈哈哈 于是我们受启发做了个可以自己进球的足球。初步效果不错！项目已在github开源，如果大家感兴趣后续我再换上更强的电机！ #vibecoding大赏 #ai新星计划 #手搓 #ai硬件 #世界杯,https://www.douyin.com/video/7651204304753233194,AI研究室-帆哥,03:10 953 VibeCoding大赏 | 我做了个会自己进球的赛博足球！ 这不是世界杯来了，俺也想凑凑热闹！ 前段时间看到博主Max Imagination的创意esproll，我发现这不就是个足球嘛！假如我能让足球为我而动，那岂不是哈哈哈 于是我们受启发做了个可以自己进球的足球。初步效果不错！项目已在github开源，如果大家感兴趣后续我再换上更强的电机！ #vibecoding大赏 #ai新星计划 #手搓 #ai硬件 #世界杯 @AI研究室-帆哥 19小时前,2026-06-15,953,,
douyin,vibecoding大赏 做了一个通过摄像头捕捉动作进行交互的悬浮相册网站ᔦ ° ꒳ ° ᔨ ̖́-#夏鸣星#vibecoding大赏#ai新星计划并@抖音科技,https://www.douyin.com/video/7650834230369034842,大小姐到ξ( ✿＞◡❛),00:47 672 vibecoding大赏 做了一个通过摄像头捕捉动作进行交互的悬浮相册网站ᔦ ° ꒳ ° ᔨ ̖́-#夏鸣星#vibecoding大赏#ai新星计划并@抖音科技 @大小姐到ξ( ✿＞◡❛) 1天前,2026-06-14,672,,
douyin,Vibe coding重度成瘾者都玩过哪些模型？ #vibecoding #AI编程 #恶搞 #数字人 #vibecoding大赏,https://www.douyin.com/video/7646496698071633171,Aiwood爱屋研究室,合集 03:01 3.1万 Vibe coding重度成瘾者都玩过哪些模型？ #vibecoding #AI编程 #恶搞 #数字人 #vibecoding大赏 @Aiwood爱屋研究室 1周前,2026-06-08,3.1万,,
douyin,#vibecoding大赏 #扣扣搜搜地花了很多钱 #开局一张嘴身份自己给,https://www.douyin.com/video/7650560288386731291,言若诺,05:17 22 #vibecoding大赏 #扣扣搜搜地花了很多钱 #开局一张嘴身份自己给 @言若诺 2天前,2026-06-13,22,,
douyin,手搓App跑出10万赞，Vibe Coding在抖音彻底爆了 #vibecoding大赏 #ai新星计划 #胡彦斌你要的token全拿走 #TRAEAI创造力大赛,https://www.douyin.com/video/7649964581602725158,产品君,合集 02:04 3528 手搓App跑出10万赞，Vibe Coding在抖音彻底爆了 #vibecoding大赏 #ai新星计划 #胡彦斌你要的token全拿走 #TRAEAI创造力大赛 @产品君 4天前,2026-06-11,3528,,
douyin,"Obsidian+AI v2.0已经更新,具体内容如下: #vibecoding大赏 先一句话总结，这次的改动进化成了：关窗口自动存经验，开窗口自动变聪明。v1.0是每周触发,而且思考的深度不够，v1.0 做了个周扫描系统，周日跑一次，聊胜于无，—但关窗口到扫描之间有七天真空期，而且只会数数：""这周犯了六个错。"" 现在 v2.0 做了三件事： 一，实时进化。 不靠每周日了。你关窗口，它立刻收割刚才的经验；你开新窗口，它立刻把漏掉的补上。上一个窗口的教训，下一个窗口秒级生效。 二，找根因。 不是""你犯了六个错""——是""这四个错看着不一样，根上都是你 Windows 上跑 R 语言的颜色渲染 bug，一条规则全防住。"" 三，不堆屎山。 发现新规则先检查有没有旧的能用，能合并就合并，能强化就强化，不重复造轮子。 装好之后你什么都不用管，正常聊天，正常关窗口。它自己收、自己想、自己进化。 #AI #vebcoding #skills #Obsidian",https://www.douyin.com/video/7651111552862473535,流浪z诗人,"01:10 1719 Obsidian+AI v2.0已经更新,具体内容如下: #vibecoding大赏 先一句话总结，这次的改动进化成了：关窗口自动存经验，开窗口自动变聪明。v1.0是每周触发,而且思考的深度不够，v1.0 做了个周扫描系统，周日跑一次，聊胜于无，—但关窗口到扫描之间有七天真空期，而且只会数数：""这周犯了六个错。"" 现在 v2.0 做了三件事： 一，实时进化。 不靠每周日了。你关窗口，它立刻收割刚才的经验；你开新窗口，它立刻把漏掉的补上。上一个窗口的教训，下一个窗口秒级生效。 二，找根因。 不是""你犯了六个错""——是""这四个错看着不一样，根上都是你 Windows 上跑 R 语言的颜色渲染 bug，一条规则全防住。"" 三，不堆屎山。 发现新规则先检查有没有旧的能用，能合并就合并，能强化就强化",2026-06-14,1719,,
douyin,看了27万个网站，AI筛选出167个能开发的方向 让 AI 帮我们调研小白vibecoding能做的方向，发现给教室排座位也有这么大营收？！ #ai新星计划 #vibecoding大赏 #agent #ai编程 #ai,https://www.douyin.com/video/7651472096157701860,西门聪明蛋XD,合集 05:18 102 看了27万个网站，AI筛选出167个能开发的方向 让 AI 帮我们调研小白vibecoding能做的方向，发现给教室排座位也有这么大营收？！ #ai新星计划 #vibecoding大赏 #agent #ai编程 #ai @西门聪明蛋XD 1小时前,2026-06-15,102,,
douyin,从写代码到直接写产品：为什么说Fable一夜做红警是模型的重大进步#跟傅盛学AI#AIGC#编程#程序员#红警 #vibecoding大赏,https://www.douyin.com/video/7650512389913201974,傅盛,05:58 1099 从写代码到直接写产品：为什么说Fable一夜做红警是模型的重大进步#跟傅盛学AI#AIGC#编程#程序员#红警 #vibecoding大赏 @傅盛 2天前,2026-06-13,1099,,
douyin,Vibecoding 大赏 广告跳过 #vibecoding大赏 @抖音科技 #上热搜,https://www.douyin.com/video/7650376839261730213,赛博爱迪生,00:23 891 Vibecoding 大赏 广告跳过 #vibecoding大赏 @抖音科技 #上热搜 @赛博爱迪生 3天前,2026-06-12,891,,
