platform,title,url,cover_url,author,published_at,like_count,comment_count,collect_count,share_count,hot_score,recent_hot_score,case_type,built_thing,tool_stack,target_audience,hook,content_value,evidence_level,monetization_signal,risk_flag,primary_category,category_label,product_forms,tools,motives,audience,confidence,description,source
xiaohongshu,Codex小游戏开发日记8,https://www.xiaohongshu.com/explore/6a230a0a00000000080249cb,https://sns-webpic-qc.xhscdn.com/202606151859/1f8ca86ff5d0971bce4f1a392ddd90c4/1040g2sg3211t3nto7k705njes27g8u6n7adk240!nc_n_webp_mw_1,奔奔,2026-06-06,104,,,,104.0,11.56,真案例,游戏/互动、创意实验/好玩项目,Codex,,,有结果,强,,,creative_game_visual,创意可视化/小游戏,小游戏/互动,Codex,表达创意,,0.78,Codex小游戏开发日记8 奔奔 06-06 104,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,我也终于用上 Codex 生成游戏素材啦,https://www.xiaohongshu.com/explore/6a2561220000000007027c70,https://sns-webpic-qc.xhscdn.com/202606151859/9efd24b1b6f04ca44b1c54485c9e1b28/spectrum/1040g0k032147voc8n4004bcno46s9224ceoifu8!nc_n_webp_mw_1,哆啦A梦的AI百宝袋,2026-06-07,82,,,,82.0,10.25,真案例,内容/创作、游戏/互动、创意实验/好玩项目,Codex,设计/创作者,,有结果,强,,,content_marketing,内容和营销创作,小游戏/互动、课程/内容,Codex,表达创意,设计/创作者,0.62,我也终于用上 Codex 生成游戏素材啦 哆啦A梦的AI百宝袋 06-07 82,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,别人用Codex写综述封神 我却频频踩坑,https://www.xiaohongshu.com/explore/6a258b46000000001603e3b7,https://sns-webpic-qc.xhscdn.com/202606151859/27674219b6acaa038272fb9037d29b4f/note_pre_post_uhdr/1040g3r83214b9feona005p9qaif1gk586av1608!nc_n_webp_mw_1,腊月初九是周五,2026-06-09,357,,,,357.0,59.5,失败复盘,,Codex,,失败复盘,,弱,,,dev_productivity,开发提效/编程技巧,,Codex,,,0.95,别人用Codex写综述封神 我却频频踩坑 腊月初九是周五 6天前 357,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,我用 Codex手搓了一个作品集网站,https://www.xiaohongshu.com/explore/6a29202d00000000150265e2,https://sns-webpic-qc.xhscdn.com/202606151859/6fb88d83d0b7ee4cb3c1745713ee7381/spectrum/1040g34o3217rc0kkn4104bnv2mamca80s97sb3o!nc_n_webp_mw_1,初路 CHU LU,2026-06-10,240,,,,240.0,48.0,真案例,网站、创意实验/好玩项目,Codex,,几小时上线,有结果,强,,,dev_productivity,开发提效/编程技巧,网站,Codex,,,0.7,我用 Codex手搓了一个作品集网站 初路 CHU LU 5天前 240,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,都用Codex了，前端别瞎做，照搬这个工作流,https://www.xiaohongshu.com/explore/6a21564c0000000006035fc1,https://sns-webpic-qc.xhscdn.com/202606151859/74ff53573310f96b848561510fe21bf8/spectrum/1040g0k032104482970005q10q02k4g24vkh8t9g!nc_n_webp_mw_1,KK233,2026-06-04,245,,,,245.0,22.27,教程,自动化流程,Codex,,效率提升,可复刻,中,,,dev_productivity,开发提效/编程技巧,AI Agent/工作流,Codex,工作提效,,0.7,都用Codex了，前端别瞎做，照搬这个工作流 KK233 06-04 245,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,如何vibe coding控制机械臂3D打印（下）,https://www.xiaohongshu.com/explore/6a20ef5e000000003700cce1,https://sns-webpic-qc.xhscdn.com/202606151900/760dd4a55d4baf01a94983822d15933a/notes_pre_post/1040g3k0320vraqje7a005okbf6k8c81rbtrjupo!nc_n_webp_mw_1,拍拍派派,2026-06-04,130,,,,130.0,11.82,教程,3D建模/渲染、设计系统/视觉,,设计/创作者,,,中,,,creative_game_visual,创意可视化/小游戏,3D建模/渲染,,表达创意,设计/创作者,0.95,如何vibe coding控制机械臂3D打印（下） 拍拍派派 06-04 130,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,好奇一下大家的vibecoding工作流,https://www.xiaohongshu.com/explore/6a2ea75a000000002202c179,https://sns-webpic-qc.xhscdn.com/202606151900/e7534ae4f2947f8989b9ee8874ec872d/notes_pre_post/1040g3k0321d4b5716u005q6qlbsto03j1ne6gpg!nc_n_webp_mw_1,碧影,2026-06-14,406,,,,406.0,406.0,教程,自动化流程,,,效率提升,可复刻,中,,,workflow_automation,工作流和运营自动化,AI Agent/工作流,,工作提效,,0.95,好奇一下大家的vibecoding工作流 碧影 昨天 21:06 406,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,我的 Vibe Coding 工作流,https://www.xiaohongshu.com/explore/6a17e08f000000000702272a,https://sns-webpic-qc.xhscdn.com/202606151900/d6a0f56f5890f98508c9d4a5bfef4601/1040g2sg320n064ev68s05q010alji8iv813m95g!nc_n_webp_mw_1,咪是怀疑人生家,2026-05-28,2485,,,,2485.0,138.06,教程,自动化流程,,,效率提升,可复刻,中,,,workflow_automation,工作流和运营自动化,AI Agent/工作流,,工作提效,,0.95,我的 Vibe Coding 工作流 咪是怀疑人生家 05-28 2485,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,如题，AI生成3D模型哪家好,https://www.xiaohongshu.com/explore/6a097265000000003701c8ed,https://sns-webpic-qc.xhscdn.com/202606151900/8b4f41471bdeb3b54d0191dbc8d79933/notes_pre_post/1040g3k03208srngq5s005olaj4amd871c0gil00!nc_n_webp_mw_1,HMLD,2026-05-17,212,,,,212.0,7.31,真案例,3D建模/渲染、设计系统/视觉,,设计/创作者,,有结果,强,,,creative_game_visual,创意可视化/小游戏,3D建模/渲染,,表达创意,设计/创作者,0.78,如题，AI生成3D模型哪家好 HMLD 05-17 212,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,我用codex给自己搭了一个自媒体工作流,https://www.xiaohongshu.com/explore/6a28233f000000002003a285,,希达,2026-06-10,916,,,,916.0,183.2,真案例,自动化流程、创意实验/好玩项目,Codex,,几小时上线、效率提升,可复刻,强,,,dev_productivity,开发提效/编程技巧,AI Agent/工作流,Codex,工作提效,,0.7,我用codex给自己搭了一个自媒体工作流 希达 5天前 916,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,转行AI 产品经理(1) -如何做agent 评测,https://www.xiaohongshu.com/explore/6a280983000000000702255b,,Ristar,2026-06-10,210,,,,210.0,42.0,教程,AI agent,,创业者/独立开发者,几小时上线、求职转行,有结果,中,,,product_build,做产品/工具,AI Agent/工作流,,,创业者/独立开发者,0.7,转行AI 产品经理(1) -如何做agent 评测 Ristar 5天前 210,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,零基础用vibe coding制作个人网站,https://www.xiaohongshu.com/explore/6a26ccb20000000008002b50,,香菜不香1,2026-06-11,1078,,,,1078.0,269.5,真案例,网站,,零基础用户,,有结果,强,,,learning_tutorial,教程/课程/方法论,网站,,学习入门,零基础用户,0.7,零基础用vibe coding制作个人网站 香菜不香1 4天前 1078,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,我用 AI 写的 0 代码小程序上线 4 天了,https://www.xiaohongshu.com/explore/6a2f7f35000000001c025c4c,,对方并没有输入,2026-06-15,5,,,,5.0,5.0,真案例,小程序,,开发者,几小时上线、完整流程,有结果,强,,,dev_productivity,开发提效/编程技巧,小程序,,快速原型,开发者,0.7,我用 AI 写的 0 代码小程序上线 4 天了 对方并没有输入 2小时前 5,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,vibe coding了一个点菜小程序,https://www.xiaohongshu.com/explore/6a2eb0230000000016024f3e,,小小玄,2026-06-14,2,,,,2.0,2.0,真案例,小程序,,,,有结果,强,,,product_build,做产品/工具,小程序,,,,0.95,vibe coding了一个点菜小程序 小小玄 昨天 21:44 2,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,🔥Codex最值得安装的10个插件│建议收藏,https://www.xiaohongshu.com/explore/6a2292dd0000000007027182,,AI,2026-06-06,2547,,,,2547.0,283.0,工具测评,插件,Codex,,,,弱,,,dev_productivity,开发提效/编程技巧,,Codex,,,0.95,🔥Codex最值得安装的10个插件│建议收藏 AI 06-06 2547,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
